instance,size,best,runtime,makespan,ecart,descent_random_est_lrpt
aaa1,2x3,11,30,11,0.0
aaa2,4x3,29,9,32,10.344828
aaa3,4x3,41,7,41,0.0
abz5,10x10,1234,62,1332,7.9416533
abz6,10x10,943,20,980,3.9236479
abz7,20x15,656,119,788,20.121952
abz8,20x15,665,177,829,24.661654
abz9,20x15,679,108,852,25.478645
ft06,6x6,55,6,55,0.0
ft10,10x10,930,21,1100,18.27957
ft20,20x5,1165,10,1514,29.95708
la01,10x5,666,3,666,0.0
la02,10x5,655,5,784,19.694656
la03,10x5,597,7,705,18.090452
la04,10x5,590,9,737,24.915255
la05,10x5,593,5,593,0.0
la06,15x5,926,9,926,0.0
la07,15x5,890,13,961,7.977528
la08,15x5,863,13,952,10.312862
la09,15x5,951,10,1025,7.781283
la10,15x5,958,12,966,0.83507305
la11,20x5,1222,9,1268,3.7643209
la12,20x5,1039,14,1105,6.352262
la13,20x5,1150,12,1166,1.3913044
la14,20x5,1292,5,1292,0.0
la15,20x5,1207,13,1343,11.267606
la16,10x10,945,19,1067,12.910053
la17,10x10,784,12,928,18.367348
la18,10x10,848,16,932,9.905661
la19,10x10,842,14,985,16.983374
la20,10x10,902,19,980,8.64745
la21,15x10,1046,44,1230,17.590822
la22,15x10,927,25,1063,14.670981
la23,15x10,1032,23,1183,14.631783
la24,15x10,935,51,1130,20.855616
la25,15x10,977,36,1126,15.250768
la26,20x10,1218,67,1382,13.464696
la27,20x10,1235,73,1508,22.105263
la28,20x10,1216,27,1480,21.710526
la29,20x10,1152,40,1342,16.493055
la30,20x10,1355,41,1553,14.612546
la31,30x10,1784,42,1981,11.042601
la32,30x10,1850,63,2013,8.810811
la33,30x10,1719,112,1837,6.864456
la34,30x10,1721,70,1954,13.53864
la35,30x10,1888,73,2000,5.9322033
la36,15x15,1268,44,1509,19.00631
la37,15x15,1397,91,1781,27.487473
la38,15x15,1196,48,1513,26.505016
la39,15x15,1233,51,1488,20.681265
la40,15x15,1222,77,1417,15.957447
